seat_comfort,seat_cleanliness,flight_attendant_courtesy,flight_attendant_attentiveness,food_quality,was_flight_delayed,delay_minutes,delay_handling,overall_customer_satisfaction
3,3,3,3,3,YES,12,4,6
2,5,1,4,2,YES,102,4,9
1,5,1,3,5,YES,117,4,8
5,5,4,5,4,YES,53,4,8
3,2,3,4,3,YES,20,5,6
4,1,2,1,2,YES,40,4,8
5,4,4,4,1,YES,11,2,6
5,1,5,3,3,YES,120,4,9
2,2,1,3,2,YES,49,5,8
5,5,5,3,1,YES,68,5,9
3,2,5,4,3,YES,1,4,6
4,1,1,4,3,NO,,,4
3,3,2,5,2,YES,36,5,9
5,1,2,4,2,NO,,,6
2,1,4,3,3,YES,51,5,8
2,2,1,3,3,NO,,,2
2,3,3,3,2,YES,17,3,4
4,2,2,2,5,YES,73,4,10
1,2,4,1,4,YES,28,4,4
2,4,3,4,2,YES,94,5,9
4,4,2,5,3,NO,,,6
4,1,1,1,5,YES,5,2,6
5,3,5,3,1,NO,,,8
4,5,4,5,4,NO,,,8
3,1,2,3,5,YES,96,5,8
2,5,4,5,5,YES,50,4,10
3,4,3,5,3,YES,99,2,6
3,4,2,3,2,YES,38,2,4
4,3,3,1,3,YES,116,4,9
1,5,3,5,5,YES,105,5,10
3,3,5,3,2,NO,,,6
2,4,5,5,3,YES,39,2,6
1,5,4,5,2,YES,93,5,9
4,1,4,1,5,NO,,,8
4,5,3,5,4,NO,,,6
2,4,3,3,3,NO,,,4
1,3,1,1,1,NO,,,2
4,3,3,2,2,YES,4,3,6
3,5,5,4,3,YES,70,4,9
1,5,4,1,1,NO,,,4
4,2,2,5,5,NO,,,6
4,5,5,3,3,YES,40,5,9
1,1,5,3,5,YES,25,5,6
1,1,1,1,1,YES,49,5,10
1,4,5,5,5,YES,21,4,6
4,5,4,1,3,YES,56,4,10
4,5,4,2,3,YES,81,2,6
3,3,2,2,2,YES,49,5,8
3,1,1,4,3,YES,84,4,8
4,3,3,1,4,NO,,,6
3,4,5,1,2,YES,91,3,6
4,2,3,5,5,YES,98,5,10
5,5,5,1,3,YES,68,3,8
5,1,2,2,3,NO,,,6
5,2,3,3,2,YES,96,5,10
2,2,3,1,5,YES,49,4,10
1,3,1,1,2,NO,,,2
2,5,5,4,5,YES,66,2,6
2,1,5,4,1,YES,48,2,6
1,4,2,2,3,YES,64,3,5
1,1,4,3,4,NO,,,4
4,1,1,1,1,YES,65,4,9
2,4,2,4,2,NO,,,4
2,1,3,5,5,YES,15,5,6
3,2,3,4,5,NO,,,6
2,1,2,3,5,YES,43,4,9
3,3,3,5,1,NO,,,4
1,3,5,4,3,YES,103,3,6
2,4,5,5,1,YES,4,5,6
2,1,1,4,3,NO,,,2
2,5,4,1,5,NO,,,6
3,2,1,4,5,YES,12,2,4
2,3,5,1,4,YES,2,2,6
1,4,5,5,3,NO,,,6
2,4,3,4,4,YES,62,2,4
5,3,3,1,1,YES,33,5,8
3,2,4,3,4,YES,65,4,10
5,4,3,4,5,YES,57,5,8
5,2,3,5,4,NO,,,8
5,1,3,1,4,YES,28,5,8
3,4,3,2,2,YES,82,5,9
3,5,4,1,3,YES,91,5,9
5,2,3,5,5,YES,116,4,10
2,5,2,2,1,YES,61,4,10
1,4,1,3,4,YES,46,2,2
4,4,5,2,4,YES,17,4,8
2,3,4,1,3,NO,,,6
2,5,3,3,5,YES,120,2,6
5,3,2,4,3,NO,,,6
5,2,3,1,5,YES,107,4,10
3,4,1,1,4,YES,7,5,4
4,1,1,1,5,YES,82,4,8
5,1,1,5,3,NO,,,6
4,3,1,3,3,NO,,,4
2,4,4,5,1,YES,86,4,10
2,3,2,4,4,YES,17,3,4
5,1,2,3,1,NO,,,6
4,2,3,4,2,YES,23,5,6
4,1,3,2,2,NO,,,6
1,1,4,5,5,YES,92,2,6
2,4,4,4,2,YES,3,4,4
4,5,2,3,4,NO,,,6
2,3,3,3,1,NO,,,4
5,1,2,2,2,NO,,,6
5,4,1,5,5,YES,17,5,6
4,1,5,4,2,YES,60,5,9
5,5,3,4,1,YES,42,5,10
2,5,4,1,2,YES,106,2,4
1,4,1,1,4,YES,67,4,8
4,2,5,1,4,NO,,,8
2,4,1,5,5,YES,30,5,4
1,2,4,4,1,YES,65,2,4
2,2,2,1,3,YES,69,5,8
3,4,4,3,3,YES,10,5,6
3,5,3,4,1,YES,43,5,10
2,4,4,1,3,NO,,,6
1,1,2,1,2,YES,104,4,9
3,4,3,5,1,NO,,,4
4,5,1,5,1,YES,117,2,5
3,3,4,5,2,YES,101,5,8
5,5,4,3,4,YES,43,4,9
5,1,3,5,5,YES,114,3,8
5,1,3,4,3,YES,46,3,6
4,5,2,3,3,YES,110,3,6
5,4,3,1,4,YES,100,2,8
1,2,1,3,5,NO,,,2
5,3,3,4,2,YES,21,4,6
1,3,4,2,1,YES,111,3,5
4,3,3,1,2,YES,28,4,6
3,3,3,5,4,YES,63,4,8
5,5,2,5,1,YES,5,3,6
4,3,2,5,3,NO,,,6
2,1,2,2,4,YES,39,5,8
3,1,1,2,5,YES,51,2,4
4,2,1,4,5,YES,58,3,6
2,1,5,5,5,NO,,,6
4,1,1,4,3,NO,,,4
1,5,4,2,5,YES,72,4,10
3,2,1,1,4,YES,116,2,4
3,3,5,4,1,YES,3,2,6
2,5,2,4,4,NO,,,4
4,1,5,2,5,YES,17,2,8
3,4,3,1,4,NO,,,6
5,1,1,5,5,NO,,,6
1,2,2,2,2,YES,84,3,2
1,1,5,1,4,YES,5,4,6
1,1,2,1,1,NO,,,2
4,4,3,1,5,YES,116,4,8
1,5,4,5,3,YES,48,5,8
5,2,1,5,3,YES,64,3,6
3,4,5,1,1,YES,103,4,8
2,4,5,5,4,NO,,,6
4,3,2,5,3,YES,77,3,6
4,1,1,5,5,YES,38,3,6
5,2,1,4,5,NO,,,6
2,1,2,5,4,YES,120,3,4
5,5,3,5,4,NO,,,8
4,2,4,4,5,YES,27,3,8
4,4,5,2,1,YES,93,2,6
1,4,5,3,3,YES,106,2,6
4,4,5,3,2,YES,32,4,8
4,5,2,5,1,YES,103,3,4
3,3,2,2,5,NO,,,6
2,3,2,5,2,YES,78,3,4
5,2,5,1,5,YES,56,2,10
1,2,5,2,3,YES,32,4,10
1,3,5,4,2,YES,57,4,10
4,2,5,5,5,YES,12,3,8
1,2,4,3,3,NO,,,4
4,5,5,5,3,NO,,,8
1,4,2,1,1,NO,,,2
3,3,1,1,1,NO,,,2
3,2,1,5,5,YES,73,2,4
5,2,3,1,1,NO,,,6
2,5,2,1,3,YES,81,2,4
1,3,3,4,2,YES,63,4,9
1,5,1,5,1,YES,59,2,5
1,5,3,4,3,YES,32,4,9
5,1,4,3,2,YES,4,2,8
1,1,5,3,2,NO,,,4
5,1,1,1,4,NO,,,6
2,2,1,4,4,YES,107,4,10
5,4,4,4,5,YES,28,2,8
5,3,5,3,1,NO,,,8
2,1,3,5,3,YES,74,3,4
4,5,1,2,2,NO,,,4
4,4,2,1,3,YES,111,3,6
2,4,3,5,2,YES,115,5,10
5,3,3,4,2,YES,29,3,6
5,2,5,3,3,NO,,,8
4,3,1,2,4,YES,46,3,4
2,4,3,5,4,NO,,,4
4,3,5,2,1,NO,,,6
3,5,3,4,1,NO,,,4
2,3,2,1,2,YES,65,4,8
5,1,3,1,4,NO,,,8
1,5,4,1,3,YES,26,2,4
3,2,5,2,5,NO,,,8
4,2,5,5,2,YES,54,3,8
2,3,4,1,2,YES,20,3,4
1,5,1,2,5,YES,84,3,4
1,1,1,5,1,NO,,,2
5,4,2,1,5,YES,36,4,10
5,5,3,1,5,NO,,,8
2,2,4,4,1,NO,,,4
5,2,4,1,1,NO,,,6
5,2,5,4,3,YES,90,2,8
1,2,2,5,1,YES,105,2,5
3,5,3,5,1,YES,7,2,4
2,2,5,4,5,YES,75,5,10
2,4,2,5,2,YES,32,5,8
3,4,2,1,4,NO,,,4
5,4,4,1,1,NO,,,6
5,4,1,5,1,YES,94,3,4
4,4,3,4,2,NO,,,6
4,3,1,4,5,NO,,,6
4,2,1,2,5,YES,72,3,6
3,5,3,3,2,NO,,,4
5,3,2,2,4,YES,85,5,10
1,2,2,1,3,YES,46,5,10
4,3,1,5,4,YES,71,5,10
2,1,5,4,2,YES,108,4,10
4,2,2,1,1,YES,56,3,4
4,2,5,4,4,YES,2,2,8
3,5,5,1,2,YES,2,2,6
3,1,5,3,4,YES,93,3,8
3,5,2,2,2,YES,115,4,9
3,2,2,3,1,NO,,,4
4,5,2,2,4,YES,50,2,6
5,4,4,3,3,YES,54,3,8
4,4,5,3,1,YES,38,4,10
4,1,2,5,5,YES,73,4,8
5,2,2,4,2,YES,52,3,6
5,2,3,1,5,YES,44,5,8
4,5,2,3,3,YES,104,4,10
4,1,3,5,2,YES,96,5,8
3,3,4,2,3,YES,59,2,6
5,1,3,1,1,NO,,,6
3,5,5,5,5,YES,114,2,8
3,3,1,4,3,YES,34,3,4
5,3,1,5,3,YES,72,3,6
2,1,2,2,3,NO,,,4
5,5,3,2,3,NO,,,6
3,5,1,1,2,YES,39,4,9
3,1,2,5,5,YES,16,2,6
3,2,2,1,1,YES,77,4,10
3,4,2,3,3,YES,29,4,4
4,3,2,3,3,YES,82,4,9
5,3,4,4,5,NO,,,8
4,3,5,5,5,NO,,,8
3,2,2,5,4,YES,33,2,4
5,5,1,5,4,NO,,,6
3,3,4,2,5,YES,16,2,6
2,2,1,3,1,NO,,,2
4,3,5,1,5,NO,,,8
